DATA_RILEVAZIONE;PRODOTTO_ID;PRODOTTO_NOME;PREZZO;ACCISA;IVA;NETTO;VARIAZIONE
29/07/2019;1;Benzina;1592.01;728.4;287.08;576.53;-7.92
29/07/2019;2;Gasolio auto;1478.29;617.4;266.58;594.31;-8.72
29/07/2019;5;GPL;618.39;147.27;111.51;359.61;-1.71
29/07/2019;3;Gasolio riscaldamento;1303.79;403.21;235.11;665.47;3.11
29/07/2019;6;O.C. fluido BTZ S<=1%;852.4;166.84;77.49;608.07;5.5
29/07/2019;8;O.C. denso BTZ S>1%;486.44;31.39;0;455.05;1.44
22/07/2019;1;Benzina;1599.93;728.4;288.51;583.02;3.18
22/07/2019;2;Gasolio auto;1487.01;617.4;268.15;601.46;2.54
22/07/2019;5;GPL;620.1;147.27;111.82;361.01;-0.42
22/07/2019;3;Gasolio riscaldamento;1300.68;403.21;234.55;662.92;-9.43
22/07/2019;6;O.C. fluido BTZ S<=1%;846.9;166.84;76.99;603.07;-17.5
22/07/2019;8;O.C. denso BTZ S>1%;485;31.39;0;453.61;-28.38
15/07/2019;1;Benzina;1596.75;728.4;287.94;580.41;6.33
15/07/2019;2;Gasolio auto;1484.47;617.4;267.69;599.38;3.57
15/07/2019;5;GPL;620.52;147.27;111.9;361.35;-3.78
15/07/2019;3;Gasolio riscaldamento;1310.11;403.21;236.25;670.65;18.25
15/07/2019;6;O.C. fluido BTZ S<=1%;864.4;166.84;78.58;618.98;13.9
15/07/2019;8;O.C. denso BTZ S>1%;513.38;31.39;0;481.99;16.88
08/07/2019;1;Benzina;1590.42;728.4;286.8;575.22;1.66
08/07/2019;2;Gasolio auto;1480.9;617.4;267.05;596.45;2.05
08/07/2019;5;GPL;624.3;147.27;112.58;364.45;-10.86
08/07/2019;3;Gasolio riscaldamento;1291.86;403.21;232.96;655.69;4.61
08/07/2019;6;O.C. fluido BTZ S<=1%;850.5;166.84;77.32;606.34;-2.7
08/07/2019;8;O.C. denso BTZ S>1%;496.5;31.39;0;465.11;-1
01/07/2019;1;Benzina;1588.76;728.4;286.5;573.86;-1.25
01/07/2019;2;Gasolio auto;1478.85;617.4;266.68;594.77;-1.84
01/07/2019;5;GPL;635.16;147.27;114.54;373.35;-0.62
01/07/2019;3;Gasolio riscaldamento;1287.25;403.21;232.13;651.91;4.88
01/07/2019;6;O.C. fluido BTZ S<=1%;853.2;166.84;77.56;608.8;10.3
01/07/2019;8;O.C. denso BTZ S>1%;497.5;31.39;0;466.11;19.12
